שם רשות מקומית,שנה,"סה""כ חיוב ארנונה"
קריית יערים,2018,"8,103"
קריית יערים,2017,"7,345"
קריית יערים,2016,"6,482"
קריית יערים,2015,"4,952"
קריית מוצקין,2019,"115,338"
קריית מוצקין,2018,"113,324"
קריית מוצקין,2017,"109,879"
קריית מוצקין,2016,"105,477"
קריית מוצקין,2015,"102,219"
קריית מלאכי,2019,"76,436"
קריית מלאכי,2018,"74,346"
קריית מלאכי,2017,"74,127"
קריית מלאכי,2016,"69,573"
קריית מלאכי,2015,"70,248"
קריית עקרון,2019,"48,470"
קריית עקרון,2018,"47,560"
קריית עקרון,2017,"46,042"
קריית עקרון,2016,"44,478"
קריית עקרון,2015,"41,705"
קריית שמונה,2019,"62,924"
קריית שמונה,2018,"62,409"
קריית שמונה,2017,"60,851"
קריית שמונה,2016,"58,693"
קריית שמונה,2015,"54,432"
קרני שומרון,2019,"16,377"
קרני שומרון,2018,"15,579"
קרני שומרון,2017,"14,508"
קרני שומרון,2016,"13,600"
קרני שומרון,2015,"13,365"
ראמה,2019,"14,287"
ראמה,2018,"14,059"
ראמה,2017,"14,098"
ראמה,2016,"13,795"
ראמה,2015,"13,866"
ראש העין,2019,"227,593"
ראש העין,2018,"211,439"
ראש העין,2017,"189,209"
ראש העין,2016,"162,250"
ראש העין,2015,"155,157"
ראש פינה,2019,"184,035"
ראש פינה,2018,"196,782"
ראש פינה,2017,"150,973"
ראש פינה,2016,"142,528"
ראש פינה,2015,"140,329"
ראשון לציון,2019,"1,049,509"
ראשון לציון,2018,"1,014,156"
ראשון לציון,2017,"962,302"
ראשון לציון,2016,"924,728"
ראשון לציון,2015,"900,679"
רהט,2019,"59,152"
רהט,2018,"53,958"
רהט,2017,"50,056"
רהט,2016,"47,856"
רהט,2015,"46,378"
רחובות,2019,"557,169"
רחובות,2018,"538,733"
רחובות,2017,"508,058"
רחובות,2016,"484,506"
רחובות,2015,"463,646"
ריינה,2019,"27,636"
ריינה,2018,"27,548"
ריינה,2017,"28,292"
ריינה,2016,"24,446"
ריינה,2015,"24,937"
רכסים,2019,"10,326"
רכסים,2018,"9,887"
רכסים,2017,"9,839"
רכסים,2016,"8,936"
רכסים,2015,"8,604"
רמלה,2019,"243,470"
רמלה,2018,"236,170"
רמלה,2017,"228,402"
רמלה,2016,"219,699"
רמלה,2015,"206,288"
רמת גן,2019,"795,974"
רמת גן,2018,"795,974"
רמת גן,2017,"712,831"
רמת גן,2016,"676,246"
רמת גן,2015,"657,638"
רמת השרון,2019,"250,866"
רמת השרון,2018,"246,001"
רמת השרון,2017,"236,337"
רמת השרון,2016,"234,897"
רמת השרון,2015,"226,590"
רמת ישי,2019,"24,995"
רמת ישי,2018,"24,642"
רמת ישי,2017,"24,031"
רמת ישי,2016,"22,590"
רמת ישי,2015,"21,525"
רעננה,2019,"368,629"
רעננה,2018,"360,295"
רעננה,2017,"336,280"
רעננה,2016,"316,622"
רעננה,2015,"309,375"
שבלי - אום אל-גנם,2019,..
שבלי - אום אל-גנם,2018,"6,445"
שבלי - אום אל-גנם,2017,"6,205"
שבלי - אום אל-גנם,2016,"5,715"
שבלי - אום אל-גנם,2015,"5,669"
שגב-שלום,2019,"11,615"
שגב-שלום,2018,"11,106"
שגב-שלום,2017,"11,542"
שגב-שלום,2016,"12,790"
שגב-שלום,2015,"6,202"
שדרות,2019,"85,696"
שדרות,2018,"84,622"
שדרות,2017,"83,536"
שדרות,2016,"73,966"
שדרות,2015,"57,220"
שוהם,2019,"71,624"
שוהם,2018,"72,810"
שוהם,2017,"64,096"
שוהם,2016,"60,593"
שוהם,2015,"48,175"
שלומי,2019,"25,965"
שלומי,2018,"24,377"
שלומי,2017,"22,639"
שלומי,2016,"20,593"
שלומי,2015,"20,327"
שעב,2019,"8,950"
שעב,2018,"8,756"
שעב,2017,"7,096"
שעב,2016,"4,032"
שעב,2015,"6,592"
שפרעם,2019,"73,353"
שפרעם,2018,"58,839"
שפרעם,2017,"57,043"
שפרעם,2016,"56,720"
שפרעם,2015,"52,553"
תל אביב -יפו,2019,"3,430,533"
תל אביב -יפו,2018,"3,371,413"
תל אביב -יפו,2017,"3,272,818"
תל אביב -יפו,2016,"3,186,578"
תל אביב -יפו,2015,"3,076,605"
תל מונד,2019,"37,048"
תל מונד,2018,"36,320"
תל מונד,2017,"30,976"
תל מונד,2016,"29,540"
תל מונד,2015,"28,714"
תל שבע,2019,"13,524"
תל שבע,2018,"13,459"
תל שבע,2017,"13,013"
תל שבע,2016,..
תל שבע,2015,"12,770"
,,
