שם רשות מקומית,שנה,רכב פרטי
בת שלמה,2016,226
בת שלמה,2017,245
בת שלמה,2018,244
בת שלמה,2019,262
גאולי תימן,2015,178
גאולי תימן,2016,172
גאולי תימן,2017,162
גאולי תימן,2018,176
גאולי תימן,2019,180
גאולים,2015,356
גאולים,2016,388
גאולים,2017,377
גאולים,2018,402
גאולים,2019,407
גאליה,2015,470
גאליה,2016,503
גאליה,2017,520
גאליה,2018,543
גאליה,2019,525
גבולות,2015,83
גבולות,2016,95
גבולות,2017,102
גבולות,2018,116
גבולות,2019,120
גבים,2015,158
גבים,2016,178
גבים,2017,189
גבים,2018,204
גבים,2019,203
גבע בנימין,2015,"1,121"
גבע בנימין,2016,"1,209"
גבע בנימין,2017,"1,295"
גבע בנימין,2018,"1,373"
גבע בנימין,2019,"1,513"
גבע כרמל,2015,420
גבע כרמל,2016,426
גבע כרמל,2017,453
גבע כרמל,2018,615
גבע כרמל,2019,454
גבע,2015,115
גבע,2016,135
גבע,2017,142
גבע,2018,154
גבע,2019,143
גבעולים,2015,131
גבעולים,2016,142
גבעולים,2017,156
גבעולים,2018,174
גבעולים,2019,173
גבעון החדשה,2015,520
גבעון החדשה,2016,552
גבעון החדשה,2017,582
גבעון החדשה,2018,576
גבעון החדשה,2019,587
גבעות בר,2015,194
גבעות בר,2016,230
גבעות בר,2017,293
גבעות בר,2018,321
גבעות בר,2019,340
גבעת אבני,2015,909
גבעת אבני,2016,927
גבעת אבני,2017,972
גבעת אבני,2018,"1,000"
גבעת אבני,2019,"1,016"
גבעת אלה,2015,914
גבעת אלה,2016,954
גבעת אלה,2017,996
גבעת אלה,2018,"1,004"
גבעת אלה,2019,"1,010"
גבעת ברנר,2015,733
גבעת ברנר,2016,768
גבעת ברנר,2017,808
גבעת ברנר,2018,852
גבעת ברנר,2019,871
גבעת השלושה,2015,227
גבעת השלושה,2016,233
גבעת השלושה,2017,257
גבעת השלושה,2018,251
גבעת השלושה,2019,254
גבעת זאב,2015,"4,611"
גבעת זאב,2016,"4,942"
גבעת זאב,2017,"5,086"
גבעת זאב,2018,"5,295"
גבעת זאב,2019,"5,436"
"גבעת ח""ן",2015,171
"גבעת ח""ן",2016,184
"גבעת ח""ן",2017,186
"גבעת ח""ן",2018,192
"גבעת ח""ן",2019,203
גבעת חיים (איחוד),2015,379
גבעת חיים (איחוד),2016,402
גבעת חיים (איחוד),2017,411
גבעת חיים (איחוד),2018,447
גבעת חיים (איחוד),2019,471
גבעת חיים (מאוחד),2015,358
גבעת חיים (מאוחד),2016,383
גבעת חיים (מאוחד),2017,389
גבעת חיים (מאוחד),2018,385
גבעת חיים (מאוחד),2019,394
גבעת יואב,2015,234
גבעת יואב,2016,256
גבעת יואב,2017,259
גבעת יואב,2018,264
גבעת יואב,2019,268
גבעת יערים,2015,466
גבעת יערים,2016,492
גבעת יערים,2017,525
גבעת יערים,2018,533
גבעת יערים,2019,538
גבעת ישעיהו,2015,228
גבעת ישעיהו,2016,251
גבעת ישעיהו,2017,274
גבעת ישעיהו,2018,264
גבעת ישעיהו,2019,283
"גבעת כ""ח",2015,300
"גבעת כ""ח",2016,338
"גבעת כ""ח",2017,342
"גבעת כ""ח",2018,366
"גבעת כ""ח",2019,374
"גבעת ניל""י",2015,194
"גבעת ניל""י",2016,195
"גבעת ניל""י",2017,217
"גבעת ניל""י",2018,231
"גבעת ניל""י",2019,243
גבעת עוז,2015,96
גבעת עוז,2016,106
גבעת עוז,2017,125
גבעת עוז,2018,130
גבעת עוז,2019,134
גבעת שמואל,2015,"7,651"
גבעת שמואל,2016,"8,004"
גבעת שמואל,2017,"8,310"
גבעת שמואל,2018,"8,555"
גבעת שמואל,2019,"8,828"
גבעת שפירא,2015,141
גבעת שפירא,2016,133
גבעת שפירא,2017,137
גבעת שפירא,2018,139
גבעת שפירא,2019,140
גבעתי,2015,320
גבעתי,2016,354
גבעתי,2017,366
גבעתי,2018,389
גבעתי,2019,415
גבעתיים,2015,"18,777"
גבעתיים,2016,"19,399"
גבעתיים,2017,"20,042"
גבעתיים,2018,"20,254"
גבעתיים,2019,"20,259"
גברעם,2015,119
גברעם,2016,148
גברעם,2017,145
גברעם,2018,145
גברעם,2019,146
גבת,2015,276
גבת,2016,279
גבת,2017,289
גבת,2018,307
גבת,2019,314
גדות,2015,122
גדות,2016,122
גדות,2017,139
גדות,2018,151
גדות,2019,144
ג'דיידה-מכר,2015,"5,191"
ג'דיידה-מכר,2016,"5,623"
ג'דיידה-מכר,2017,"6,094"
ג'דיידה-מכר,2018,"6,558"
ג'דיידה-מכר,2019,"7,002"
גדיש,2015,78
גדיש,2016,94
גדיש,2017,95
גדיש,2018,111
גדיש,2019,105
גדעונה,2015,132
גדעונה,2016,138
גדעונה,2017,161
גדעונה,2018,166
גדעונה,2019,167
גדרה,2015,"7,624"
גדרה,2016,"8,116"
גדרה,2017,"8,672"
גדרה,2018,"9,000"
גדרה,2019,"9,283"
ג'ולס,2015,"1,947"
ג'ולס,2016,"2,099"
ג'ולס,2017,"2,286"
ג'ולס,2018,"2,427"
ג'ולס,2019,"2,598"
גונן,2015,153
גונן,2016,171
גונן,2017,175
גונן,2018,170
גונן,2019,168
גורן,2015,205
גורן,2016,211
גורן,2017,198
גורן,2018,208
גורן,2019,211
גורנות הגליל,2015,96
גורנות הגליל,2016,103
גורנות הגליל,2017,105
גורנות הגליל,2018,102
גורנות הגליל,2019,104
גזית,2015,157
גזית,2016,190
גזית,2017,199
גזית,2018,203
גזית,2019,216
גזר,2015,119
גזר,2016,123
גזר,2017,121
גזר,2018,129
גזר,2019,133
גיאה,2015,302
גיאה,2016,313
גיאה,2017,336
גיאה,2018,347
גיאה,2019,357
גיבתון,2015,125
גיבתון,2016,122
גיבתון,2017,135
גיבתון,2018,143
גיבתון,2019,143
גיזו,2015,81
גיזו,2016,84
גיזו,2017,84
גיזו,2018,82
גיזו,2019,90
גילון,2015,432
גילון,2016,436
גילון,2017,435
גילון,2018,453
גילון,2019,510
גילת,2015,429
גילת,2016,477
גילת,2017,516
גילת,2018,534
גילת,2019,560
גינוסר,2015,171
גינוסר,2016,184
גינוסר,2017,208
גינוסר,2018,216
גינוסר,2019,221
גיניגר,2015,193
גיניגר,2016,213
גיניגר,2017,220
גיניגר,2018,228
גיניגר,2019,235
גינתון,2015,369
גינתון,2016,388
גינתון,2017,383
גינתון,2018,398
גינתון,2019,406
גיתה,2015,98
גיתה,2016,106
גיתה,2017,115
גיתה,2018,112
גיתה,2019,119
גיתית,2015,92
גיתית,2016,97
גיתית,2017,116
גיתית,2018,125
גיתית,2019,132
גלאון,2015,137
גלאון,2016,160
גלאון,2017,183
גלאון,2018,204
גלאון,2019,226
ג'לג'וליה,2015,"2,519"
ג'לג'וליה,2016,"2,802"
ג'לג'וליה,2017,"3,065"
ג'לג'וליה,2018,"3,192"
ג'לג'וליה,2019,"3,370"
גלגל,2015,28
גלגל,2016,27
גלגל,2017,28
גלגל,2018,30
גלגל,2019,38
גליל ים,2015,179
גליל ים,2016,196
גליל ים,2017,226
גליל ים,2018,240
גליל ים,2019,232
גלעד (אבן יצחק),2015,81
גלעד (אבן יצחק),2016,86
גלעד (אבן יצחק),2017,95
גלעד (אבן יצחק),2018,96
גלעד (אבן יצחק),2019,97
גמזו,2015,282
גמזו,2016,311
גמזו,2017,320
גמזו,2018,334
גמזו,2019,355
גן הדרום,2015,195
גן הדרום,2016,201
גן הדרום,2017,213
גן הדרום,2018,227
גן הדרום,2019,228
גן השומרון,2015,319
גן השומרון,2016,336
גן השומרון,2017,351
גן השומרון,2018,359
גן השומרון,2019,373
גן חיים,2015,315
גן חיים,2016,324
גן חיים,2017,353
גן חיים,2018,379
גן חיים,2019,359
גן יאשיה,2015,341
גן יאשיה,2016,362
גן יאשיה,2017,364
גן יאשיה,2018,365
גן יאשיה,2019,382
גן יבנה,2015,"7,368"
גן יבנה,2016,"7,907"
גן יבנה,2017,"8,421"
גן יבנה,2018,"8,702"
גן יבנה,2019,"9,031"
גן נר,2015,976
גן נר,2016,"1,062"
גן נר,2017,"1,117"
גן נר,2018,"1,149"
גן נר,2019,"1,181"
גן שורק,2015,145
גן שורק,2016,155
גן שורק,2017,167
גן שורק,2018,163
גן שורק,2019,185
גן שלמה,2015,163
גן שלמה,2016,176
גן שלמה,2017,187
גן שלמה,2018,185
גן שלמה,2019,196
גן שמואל,2015,646
גן שמואל,2016,194
גן שמואל,2017,191
גן שמואל,2018,185
גן שמואל,2019,194
גנות הדר,2015,388
גנות הדר,2016,405
גנות הדר,2017,421
גנות הדר,2018,446
גנות הדר,2019,465
גנות,2015,227
גנות,2016,229
גנות,2017,223
גנות,2018,208
גנות,2019,213
גני הדר,2015,143
גני הדר,2016,148
גני הדר,2017,150
גני הדר,2018,155
גני הדר,2019,166
גני טל,2015,182
גני טל,2016,208
גני טל,2017,225
גני טל,2018,239
גני טל,2019,244
גני יוחנן,2015,292
גני יוחנן,2016,310
גני יוחנן,2017,323
גני יוחנן,2018,334
גני יוחנן,2019,327
גני מודיעין,2015,615
גני מודיעין,2016,672
גני מודיעין,2017,719
גני מודיעין,2018,761
גני מודיעין,2019,803
גני עם,2015,118
גני עם,2016,133
גני עם,2017,127
גני עם,2018,135
גני עם,2019,140
גני תקווה,2015,"5,781"
גני תקווה,2016,"6,482"
גני תקווה,2017,"7,046"
גני תקווה,2018,"7,339"
גני תקווה,2019,"7,849"
ג'סר א-זרקא,2015,"1,973"
ג'סר א-זרקא,2016,"2,136"
ג'סר א-זרקא,2017,"2,331"
ג'סר א-זרקא,2018,"2,506"
ג'סר א-זרקא,2019,"2,824"
געש,2015,401
געש,2016,411
געש,2017,416
געש,2018,376
געש,2019,389
געתון,2015,207
געתון,2016,224
געתון,2017,238
געתון,2018,249
געתון,2019,256
גפן,2015,139
גפן,2016,143
גפן,2017,153
גפן,2018,146
גפן,2019,149
גרופית,2015,65
גרופית,2016,70
גרופית,2017,78
גרופית,2018,82
גרופית,2019,84
ג'ש (גוש חלב),2015,"1,016"
ג'ש (גוש חלב),2016,"1,073"
ג'ש (גוש חלב),2017,"1,238"
ג'ש (גוש חלב),2018,"1,297"
ג'ש (גוש חלב),2019,"1,330"
גשור,2015,87
גשור,2016,106
גשור,2017,113
גשור,2018,117
גשור,2019,123
גשר הזיו,2015,508
גשר הזיו,2016,517
גשר הזיו,2017,559
גשר הזיו,2018,581
גשר הזיו,2019,568
גשר,2015,134
גשר,2016,132
גשר,2017,143
גשר,2018,144
גשר,2019,151
גת (קיבוץ),2015,170
גת (קיבוץ),2016,178
גת (קיבוץ),2017,203
גת (קיבוץ),2018,228
גת (קיבוץ),2019,249
גת רימון,2015,100
גת רימון,2016,101
גת רימון,2017,100
גת רימון,2018,109
גת רימון,2019,119
ג'ת,2015,"3,414"
ג'ת,2016,"3,723"
ג'ת,2017,"3,964"
ג'ת,2018,"4,205"
ג'ת,2019,"4,436"
דאלית אל-כרמל,2015,"5,261"
דאלית אל-כרמל,2016,"5,579"
דאלית אל-כרמל,2017,"5,945"
דאלית אל-כרמל,2018,"6,330"
דאלית אל-כרמל,2019,"6,574"
דבורה,2015,132
דבורה,2016,147
דבורה,2017,137
דבורה,2018,155
דבורה,2019,150
דבורייה,2015,"2,731"
דבורייה,2016,"2,923"
דבורייה,2017,"3,196"
דבורייה,2018,"3,421"
דבורייה,2019,"3,577"
דביר,2015,218
דביר,2016,237
דביר,2017,278
דביר,2018,303
דביר,2019,324
דברת,2015,99
דברת,2016,112
דברת,2017,135
דברת,2018,130
דברת,2019,149
דגניה א',2015,152
דגניה א',2016,168
דגניה א',2017,180
דגניה א',2018,171
דגניה א',2019,165
דגניה ב',2015,202
דגניה ב',2016,216
דגניה ב',2017,213
דגניה ב',2018,202
דגניה ב',2019,214
"דוב""ב",2015,193
"דוב""ב",2016,200
"דוב""ב",2017,215
"דוב""ב",2018,225
"דוב""ב",2019,220
דולב,2015,285
דולב,2016,305
דולב,2017,341
דולב,2018,354
דולב,2019,407
דור,2015,155
דור,2016,164
דור,2017,157
דור,2018,164
דור,2019,171
דורות,2015,172
דורות,2016,205
דורות,2017,223
דורות,2018,229
דורות,2019,256
דחי,2015,142
דחי,2016,159
דחי,2017,168
דחי,2018,181
דחי,2019,200
דייר אל-אסד,2015,"3,056"
דייר אל-אסד,2016,"3,276"
דייר אל-אסד,2017,"3,564"
דייר אל-אסד,2018,"3,841"
דייר אל-אסד,2019,"4,010"
דייר חנא,2015,"2,754"
דייר חנא,2016,"2,951"
דייר חנא,2017,"3,106"
דייר חנא,2018,"3,337"
דייר חנא,2019,"3,588"
דייר ראפאת,2015,5
דייר ראפאת,2016,8
דייר ראפאת,2017,10
דייר ראפאת,2018,14
דייר ראפאת,2019,15
דימונה,2015,"8,111"
דימונה,2016,"8,883"
דימונה,2017,"9,599"
דימונה,2018,"10,395"
דימונה,2019,"10,937"
דישון,2015,161
דישון,2016,161
דישון,2017,171
דישון,2018,181
דישון,2019,176
דלייה,2015,272
דלייה,2016,284
דלייה,2017,296
דלייה,2018,308
דלייה,2019,344
דלתון,2015,284
דלתון,2016,306
דלתון,2017,336
דלתון,2018,360
דלתון,2019,379
דמיידה,2015,107
דמיידה,2016,116
דמיידה,2017,128
דמיידה,2018,129
דמיידה,2019,141
דן,2015,267
דן,2016,266
דן,2017,288
דן,2018,285
דן,2019,270
דפנה,2015,235
דפנה,2016,238
דפנה,2017,261
דפנה,2018,245
דפנה,2019,265
דקל,2015,104
דקל,2016,111
דקל,2017,111
דקל,2018,123
דקל,2019,130
דריג'את,2015,71
דריג'את,2016,78
דריג'את,2017,82
דריג'את,2018,88
דריג'את,2019,104
האון,2015,43
האון,2016,46
האון,2017,51
האון,2018,52
האון,2019,59
הבונים,2015,158
הבונים,2016,159
הבונים,2017,154
הבונים,2018,146
הבונים,2019,154
הגושרים,2015,254
הגושרים,2016,283
הגושרים,2017,288
הגושרים,2018,307
הגושרים,2019,315
הדר עם,2015,293
הדר עם,2016,329
הדר עם,2017,358
הדר עם,2018,369
הדר עם,2019,371
הוד השרון,2015,"22,586"
הוד השרון,2016,"22,946"
הוד השרון,2017,"24,328"
הוד השרון,2018,"25,475"
הוד השרון,2019,"26,030"
הודיות,2015,15
הודיות,2016,16
הודיות,2017,18
הודיות,2018,17
הודיות,2019,19
הודייה,2015,228
הודייה,2016,250
הודייה,2017,266
הודייה,2018,315
הודייה,2019,311
הושעיה,2015,565
הושעיה,2016,597
הושעיה,2017,641
הושעיה,2018,659
הושעיה,2019,677
הזורע,2015,236
הזורע,2016,260
הזורע,2017,273
הזורע,2018,289
הזורע,2019,286
הזורעים,2015,197
הזורעים,2016,219
הזורעים,2017,245
הזורעים,2018,250
הזורעים,2019,259
החותרים,2015,231
החותרים,2016,265
החותרים,2017,271
החותרים,2018,278
החותרים,2019,298
היוגב,2015,286
היוגב,2016,301
היוגב,2017,309
היוגב,2018,328
היוגב,2019,332
הילה,2015,242
הילה,2016,250
הילה,2017,244
הילה,2018,268
הילה,2019,273
המעפיל,2015,239
המעפיל,2016,263
המעפיל,2017,278
המעפיל,2018,281
המעפיל,2019,285
הסוללים,2015,380
הסוללים,2016,404
הסוללים,2017,445
הסוללים,2018,442
הסוללים,2019,460
העוגן,2015,246
העוגן,2016,253
העוגן,2017,257
העוגן,2018,279
העוגן,2019,290
הר אדר,2015,"1,639"
הר אדר,2016,"1,723"
הר אדר,2017,"1,806"
הר אדר,2018,"1,878"
הר אדר,2019,"1,939"
הר גילה,2015,502
הר גילה,2016,532
הר גילה,2017,558
הר גילה,2018,571
הר גילה,2019,602
הר עמשא,2015,26
הר עמשא,2016,41
הר עמשא,2017,56
הר עמשא,2018,56
הר עמשא,2019,66
הראל,2015,71
הראל,2016,75
הראל,2017,79
הראל,2018,87
הראל,2019,91
הרדוף,2015,194
הרדוף,2016,210
הרדוף,2017,215
הרדוף,2018,219
הרדוף,2019,226
הרצלייה,2015,"37,640"
הרצלייה,2016,"39,016"
הרצלייה,2017,"39,749"
הרצלייה,2018,"40,468"
הרצלייה,2019,"41,930"
הררית,2015,135
הררית,2016,148
הררית,2017,174
הררית,2018,181
הררית,2019,209
ורד יריחו,2015,105
ורד יריחו,2016,121
ורד יריחו,2017,136
ורד יריחו,2018,146
ורד יריחו,2019,150
ורדון,2015,93
ורדון,2016,102
ורדון,2017,105
ורדון,2018,102
ורדון,2019,105
זבדיאל,2015,166
זבדיאל,2016,189
זבדיאל,2017,199
זבדיאל,2018,212
זבדיאל,2019,228
זוהר,2015,137
זוהר,2016,158
זוהר,2017,168
זוהר,2018,156
זוהר,2019,152
זיקים,2015,231
זיקים,2016,251
זיקים,2017,285
זיקים,2018,329
זיקים,2019,364
זיתן,2015,429
זיתן,2016,468
זיתן,2017,499
זיתן,2018,490
זיתן,2019,495
זכרון יעקב,2015,"7,497"
זכרון יעקב,2016,"7,950"
זכרון יעקב,2017,"8,229"
זכרון יעקב,2018,"8,507"
זכרון יעקב,2019,"8,672"
זכריה,2015,313
זכריה,2016,341
זכריה,2017,368
זכריה,2018,391
זכריה,2019,410
זמר,2015,"1,932"
זמר,2016,"2,107"
זמר,2017,"2,294"
זמר,2018,"2,407"
זמר,2019,"2,543"
זמרת,2015,136
זמרת,2016,167
זמרת,2017,183
זמרת,2018,199
זמרת,2019,204
זנוח,2015,149
זנוח,2016,155
זנוח,2017,178
זנוח,2018,185
זנוח,2019,187
זרועה,2015,102
זרועה,2016,133
זרועה,2017,142
זרועה,2018,151
זרועה,2019,175
זרזיר,2015,"1,693"
זרזיר,2016,"1,787"
זרזיר,2017,"1,871"
זרזיר,2018,"1,974"
זרזיר,2019,"2,068"
זרחיה,2015,198
זרחיה,2016,234
זרחיה,2017,252
זרחיה,2018,258
זרחיה,2019,289
חבצלת השרון,2015,185
חבצלת השרון,2016,190
חבצלת השרון,2017,178
חבצלת השרון,2018,189
חבצלת השרון,2019,193
חבר,2015,127
חבר,2016,148
חבר,2017,175
חבר,2018,200
חבר,2019,207
חגור,2015,414
חגור,2016,415
חגור,2017,436
חגור,2018,445
חגור,2019,490
חגי,2015,119
חגי,2016,124
חגי,2017,138
חגי,2018,152
חגי,2019,167
חגלה,2015,248
חגלה,2016,267
חגלה,2017,275
חגלה,2018,278
חגלה,2019,288
חדיד,2015,321
חדיד,2016,327
חדיד,2017,329
חדיד,2018,334
חדיד,2019,396
חד-נס,2015,291
חד-נס,2016,307
חד-נס,2017,325
חד-נס,2018,336
חד-נס,2019,339
חדרה,2015,"26,701"
חדרה,2016,"28,764"
חדרה,2017,"30,505"
חדרה,2018,"31,805"
חדרה,2019,"32,898"
ח'ואלד,2015,95
ח'ואלד,2016,118
ח'ואלד,2017,131
ח'ואלד,2018,187
ח'ואלד,2019,190
חולדה,2015,287
חולדה,2016,325
חולדה,2017,351
חולדה,2018,373
חולדה,2019,382
חולון,2015,"55,884"
חולון,2016,"58,001"
חולון,2017,"86,281"
חולון,2018,"87,832"
חולון,2019,"89,318"
חולית,2015,62
חולית,2016,72
חולית,2017,73
חולית,2018,69
חולית,2019,72
חולתה,2015,175
חולתה,2016,186
חולתה,2017,202
חולתה,2018,191
חולתה,2019,203
חוסן,2015,375
חוסן,2016,409
חוסן,2017,411
חוסן,2018,436
חוסן,2019,434
חוסנייה,2015,157
חוסנייה,2016,175
חוסנייה,2017,189
חוסנייה,2018,208
חוסנייה,2019,219
חופית,2015,434
חופית,2016,449
חופית,2017,452
חופית,2018,449
חופית,2019,438
חוקוק,2015,130
חוקוק,2016,162
חוקוק,2017,181
חוקוק,2018,178
חוקוק,2019,189
חורה,2015,"1,686"
חורה,2016,"1,973"
חורה,2017,"2,276"
חורה,2018,"2,424"
חורה,2019,"2,594"
חורפיש,2015,"1,606"
חורפיש,2016,"1,742"
חורפיש,2017,"1,868"
חורפיש,2018,"1,998"
חורפיש,2019,"2,109"
חורשים,2015,117
חורשים,2016,114
חורשים,2017,120
חורשים,2018,126
חורשים,2019,129
חזון,2015,138
חזון,2016,145
חזון,2017,157
חזון,2018,153
חזון,2019,163
חיבת ציון,2015,226
חיבת ציון,2016,246
חיבת ציון,2017,260
חיבת ציון,2018,302
חיבת ציון,2019,298
חיננית,2015,249
חיננית,2016,279
חיננית,2017,298
חיננית,2018,315
חיננית,2019,327
חיפה,2015,"102,311"
חיפה,2016,"105,516"
חיפה,2017,"108,007"
חיפה,2018,"110,941"
חיפה,2019,"113,543"
חירות,2015,502
חירות,2016,542
חירות,2017,549
חירות,2018,564
חירות,2019,588
חלוץ,2015,125
חלוץ,2016,154
חלוץ,2017,165
חלוץ,2018,186
חלוץ,2019,193
חלץ,2015,144
חלץ,2016,152
חלץ,2017,165
חלץ,2018,181
חלץ,2019,182
"חמ""ד",2015,305
"חמ""ד",2016,328
"חמ""ד",2017,337
"חמ""ד",2018,360
"חמ""ד",2019,370
חמאם,2015,391
חמאם,2016,416
חמאם,2017,464
חמאם,2018,474
חמאם,2019,507
חמדיה,2015,128
חמדיה,2016,122
חמדיה,2017,125
חמדיה,2018,118
חמדיה,2019,131
חמדת,2015,43
חמדת,2016,47
חמדת,2017,49
חמדת,2018,53
חמדת,2019,56
חמרה,2015,65
חמרה,2016,67
חמרה,2017,69
חמרה,2018,76
חמרה,2019,70
חניאל,2015,366
חניאל,2016,375
חניאל,2017,387
חניאל,2018,382
חניאל,2019,386
חניתה,2015,250
חניתה,2016,265
חניתה,2017,274
חניתה,2018,281
חניתה,2019,279
חנתון,2015,212
חנתון,2016,254
חנתון,2017,267
חנתון,2018,285
חנתון,2019,291
חספין,2015,254
חספין,2016,282
חספין,2017,304
חספין,2018,325
חספין,2019,335
חפץ חיים,2015,144
חפץ חיים,2016,155
חפץ חיים,2017,156
חפץ חיים,2018,174
חפץ חיים,2019,181
חפצי-בה,2015,163
חפצי-בה,2016,192
חפצי-בה,2017,205
חפצי-בה,2018,217
חפצי-בה,2019,213
חצב,2015,440
חצב,2016,471
חצב,2017,509
חצב,2018,500
חצב,2019,543
חצבה,2015,240
חצבה,2016,246
חצבה,2017,260
חצבה,2018,267
חצבה,2019,294
חצור הגלילית,2015,"2,485"
חצור הגלילית,2016,"2,638"
חצור הגלילית,2017,"2,717"
חצור הגלילית,2018,"2,855"
חצור הגלילית,2019,"2,951"
חצור-אשדוד,2015,208
חצור-אשדוד,2016,225
חצור-אשדוד,2017,250
חצור-אשדוד,2018,264
חצור-אשדוד,2019,282
חצרים,2015,129
חצרים,2016,131
חצרים,2017,127
חצרים,2018,153
חצרים,2019,173
חרב לאת,2015,290
חרב לאת,2016,308
חרב לאת,2017,336
חרב לאת,2018,332
חרב לאת,2019,331
חרוצים,2015,331
חרוצים,2016,355
חרוצים,2017,372
חרוצים,2018,354
חרוצים,2019,343
חריש,2015,217
חריש,2016,358
חריש,2017,999
חריש,2018,"2,157"
חריש,2019,"3,636"
חרמש,2015,95
חרמש,2016,89
חרמש,2017,99
חרמש,2018,96
חרמש,2019,110
חרשים,2015,92
חרשים,2016,101
חרשים,2017,104
חרשים,2018,109
חרשים,2019,114
חשמונאים,2015,895
חשמונאים,2016,952
חשמונאים,2017,"1,011"
חשמונאים,2018,"1,029"
חשמונאים,2019,"1,081"
טבריה,2015,"10,943"
טבריה,2016,"11,626"
טבריה,2017,"12,225"
טבריה,2018,"12,701"
טבריה,2019,"13,283"
טובא-זנגרייה,2015,"1,479"
טובא-זנגרייה,2016,"1,683"
טובא-זנגרייה,2017,"1,862"
טובא-זנגרייה,2018,"1,969"
טובא-זנגרייה,2019,"2,138"
טורעאן,2015,"3,302"
טורעאן,2016,"3,558"
טורעאן,2017,"3,934"
טורעאן,2018,"4,158"
טורעאן,2019,"4,361"
טייבה (בעמק),2015,446
טייבה (בעמק),2016,500
טייבה (בעמק),2017,526
טייבה (בעמק),2018,559
טייבה (בעמק),2019,620
טייבה,2015,"11,286"
טייבה,2016,"12,308"
טייבה,2017,"13,229"
טייבה,2018,"14,040"
טייבה,2019,"14,836"
טירה,2015,"7,817"
טירה,2016,"8,450"
טירה,2017,"9,205"
טירה,2018,"9,677"
טירה,2019,"10,138"
טירת יהודה,2015,411
טירת יהודה,2016,436
טירת יהודה,2017,434
טירת יהודה,2018,444
טירת יהודה,2019,456
טירת כרמל,2015,"5,448"
טירת כרמל,2016,"6,029"
טירת כרמל,2017,"6,558"
טירת כרמל,2018,"7,069"
טירת כרמל,2019,"7,701"
טירת צבי,2015,146
טירת צבי,2016,168
טירת צבי,2017,180
טירת צבי,2018,187
טירת צבי,2019,198
טל שחר,2015,424
טל שחר,2016,429
טל שחר,2017,455
טל שחר,2018,473
טל שחר,2019,507
טל-אל,2015,435
טל-אל,2016,448
טל-אל,2017,465
טל-אל,2018,501
טל-אל,2019,531
טללים,2015,120
טללים,2016,124
טללים,2017,133
טללים,2018,150
טללים,2019,158
טלמון,2015,591
טלמון,2016,658
טלמון,2017,760
טלמון,2018,831
טלמון,2019,906
טמרה (יזרעאל),2015,361
טמרה (יזרעאל),2016,391
טמרה (יזרעאל),2017,406
טמרה (יזרעאל),2018,444
טמרה (יזרעאל),2019,461
טמרה,2015,"8,756"
טמרה,2016,"9,530"
טמרה,2017,"10,522"
טמרה,2018,"11,047"
טמרה,2019,"11,613"
טנא,2015,236
טנא,2016,258
טנא,2017,263
טנא,2018,293
טנא,2019,293
טפחות,2015,118
טפחות,2016,135
טפחות,2017,130
טפחות,2018,144
טפחות,2019,147
יאנוח-ג'ת,2015,"1,605"
יאנוח-ג'ת,2016,"1,783"
יאנוח-ג'ת,2017,"1,946"
יאנוח-ג'ת,2018,"2,106"
יאנוח-ג'ת,2019,"2,294"
יבול,2015,130
יבול,2016,136
יבול,2017,135
יבול,2018,134
יבול,2019,137
יבנאל,2015,"1,006"
יבנאל,2016,"1,049"
יבנאל,2017,"1,154"
יבנאל,2018,"1,153"
יבנאל,2019,"1,198"
יבנה,2015,"14,102"
יבנה,2016,"15,106"
יבנה,2017,"15,872"
יבנה,2018,"16,558"
יבנה,2019,"17,064"
יגור,2015,281
יגור,2016,322
יגור,2017,349
יגור,2018,377
יגור,2019,397
יגל,2015,306
יגל,2016,324
יגל,2017,334
יגל,2018,341
יגל,2019,345
יד בנימין,2015,812
יד בנימין,2016,849
יד בנימין,2017,885
יד בנימין,2018,932
יד בנימין,2019,990
יד השמונה,2015,36
יד השמונה,2016,67
יד השמונה,2017,79
יד השמונה,2018,91
יד השמונה,2019,89
יד חנה,2015,263
יד חנה,2016,290
יד חנה,2017,310
יד חנה,2018,312
יד חנה,2019,331
יד מרדכי,2015,198
יד מרדכי,2016,227
יד מרדכי,2017,253
יד מרדכי,2018,270
יד מרדכי,2019,277
יד נתן,2015,196
יד נתן,2016,208
יד נתן,2017,211
יד נתן,2018,220
יד נתן,2019,248
"יד רמב""ם",2015,432
"יד רמב""ם",2016,454
"יד רמב""ם",2017,471
"יד רמב""ם",2018,482
"יד רמב""ם",2019,513
ידידה,2015,1
ידידה,2016,1
יהוד-מונוסון,2015,"10,841"
יהוד-מונוסון,2016,"11,251"
יהוד-מונוסון,2017,"11,782"
יהוד-מונוסון,2018,"12,128"
יהוד-מונוסון,2019,"12,336"
יהל,2015,53
יהל,2016,55
יהל,2017,70
יהל,2018,65
יהל,2019,79
יובל,2015,217
יובל,2016,216
יובל,2017,228
יובל,2018,245
יובל,2019,256
יובלים,2015,481
יובלים,2016,521
יובלים,2017,532
יובלים,2018,557
יובלים,2019,556
יודפת,2015,248
יודפת,2016,263
יודפת,2017,305
יודפת,2018,314
יודפת,2019,340
יונתן,2015,139
יונתן,2016,154
יונתן,2017,162
יונתן,2018,182
יונתן,2019,201
יושיביה,2015,111
יושיביה,2016,122
יושיביה,2017,135
יושיביה,2018,147
יושיביה,2019,164
יזרעאל,2015,134
